id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
212188,4300.0,3,16.99,153.29,D,D3,54.0,,1,86000.0,1,2014-10-01,1,0,698.0,35,0.95,0.0,780.0,784.0,3.0,0.0,0.0,2060.0,17.2,19.0,0,0,Apr-1970,0.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,9.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,3.0
299036,28000.0,3,5.32,843.22,A,A1,160.0,10+ years,0,106000.0,1,2015-10-01,0,0,300.0,9,20.17,1.0,725.0,729.0,11.0,0.0,0.0,41321.0,40.9,48.0,0,0,Mar-1996,0.0,1.0,0.0,2.0,3.0,3.0,4.0,8.0,23.0,8.0,19.0,3.0,11.0,0.0,0.0,0.0,0.0
475978,13000.0,3,17.57,467.19,D,D4,6426.0,10+ years,0,39000.0,2,2015-07-01,0,0,33.0,22,13.05,0.0,685.0,689.0,18.0,0.0,0.0,9900.0,70.2,39.0,0,0,Apr-2004,0.0,1.0,3.0,5.0,6.0,6.0,5.0,10.0,21.0,9.0,15.0,6.0,18.0,0.0,0.0,0.0,5.0
588988,10000.0,3,7.59,311.48,A,A3,62512.0,3 years,1,50000.0,1,2016-07-01,0,0,56.0,8,15.19,0.0,690.0,694.0,6.0,0.0,0.0,15781.0,28.6,14.0,0,0,Mar-2001,0.0,1.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,6.0,8.0,5.0,6.0,0.0,0.0,0.0,1.0
138859,7000.0,3,10.08,226.14,B,B1,118.0,4 years,0,50000.0,2,2018-08-01,0,0,13.0,10,22.61,0.0,780.0,784.0,9.0,0.0,0.0,6489.0,17.5,26.0,0,0,Aug-2010,0.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,11.0,5.0,12.0,2.0,9.0,0.0,0.0,0.0,1.0
764498,12000.0,3,11.44,395.37,B,B4,54.0,,1,55000.0,2,2015-01-01,0,4,25.0,13,11.96,0.0,710.0,714.0,16.0,0.0,0.0,10023.0,31.8,34.0,1,0,Jan-2003,4.0,1.0,2.0,5.0,5.0,5.0,9.0,21.0,2.0,13.0,29.0,5.0,16.0,0.0,0.0,0.0,2.0
337706,15000.0,3,23.88,587.55,E,E2,54.0,,1,51000.0,2,2017-07-01,0,0,172.0,13,25.63,0.0,680.0,684.0,17.0,0.0,0.0,4324.0,30.2,23.0,1,0,Aug-2008,0.0,1.0,3.0,2.0,5.0,5.0,2.0,6.0,4.0,15.0,19.0,5.0,17.0,0.0,0.0,0.0,5.0
257163,6400.0,3,10.49,207.99,B,B2,85654.0,9 years,0,36000.0,2,2016-11-01,0,0,100.0,4,7.43,0.0,760.0,764.0,3.0,0.0,0.0,0.0,0.0,16.0,0,1,Nov-2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
632647,10000.0,3,10.99,327.34,B,B4,3411.0,10+ years,0,65000.0,0,2015-05-01,0,2,656.0,39,11.56,7.0,665.0,669.0,18.0,5.0,0.0,6166.0,19.0,46.0,1,0,Sep-1989,5.0,1.0,1.0,3.0,8.0,8.0,4.0,10.0,6.0,16.0,39.0,8.0,18.0,0.0,0.0,0.0,2.0
517320,10000.0,5,16.24,244.46,C,C5,54.0,5 years,2,117347.0,2,2013-12-01,0,0,41.0,25,3.17,1.0,690.0,694.0,6.0,0.0,0.0,12185.0,74.8,15.0,1,0,Jul-2001,0.0,1.0,0.0,4.0,4.0,4.0,4.0,8.0,2.0,5.0,12.0,4.0,6.0,0.0,0.0,0.0,0.0
53867,3125.0,3,12.69,104.83,C,C2,4312.0,< 1 year,1,10000.0,0,2015-05-01,1,4,143.0,8,23.29,1.0,665.0,669.0,6.0,0.0,0.0,3779.0,35.3,6.0,0,0,Feb-2012,4.0,1.0,0.0,3.0,3.0,3.0,4.0,4.0,1.0,5.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0
