alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,0,0.16,0.32,0.0,0.5501089324618738,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,1,0.16,0.32,0.0,0.5727578068264342,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,2,0.4473684210526316,0.0,0.8947368421052632,0.5501089324618738,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,3,0.4473684210526316,0.0,0.8947368421052632,0.5727578068264342,0.0
2,256,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,4,0.16,0.32,0.0,0.5516975308641976,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,5,0.16,0.32,0.0,0.5715323166303559,0.0
2,256,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,6,0.4473684210526316,0.0,0.8947368421052632,0.5516975308641976,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,7,0.4473684210526316,0.0,0.8947368421052632,0.5715323166303559,0.0
2,256,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,8,0.16,0.32,0.0,0.5383759985475671,0.0
2,256,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,9,0.16,0.32,0.0,0.5625453885257806,0.0
2,256,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,10,0.48429378531073447,0.27555555555555555,0.6930320150659134,0.5383759985475671,0.5088183871019342
2,256,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,11,0.4473684210526316,0.0,0.8947368421052632,0.5625453885257806,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,12,0.16,0.32,0.0,0.5504266521423383,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,13,0.16,0.32,0.0,0.573211692084241,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,14,0.4473684210526316,0.0,0.8947368421052632,0.5504266521423383,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,15,0.4473684210526316,0.0,0.8947368421052632,0.573211692084241,0.0
