alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.2,./pytorch_models/,72,0.27,0.4,0.8,5,0.0001,1349,0.27388767767316663,0.20077220077220076,0.3470031545741325,0.619767442,0.42983080620614467
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.4,./pytorch_models/,72,0.27,0.4,0.8,5,0.0001,1361,0.27388767767316663,0.20077220077220076,0.3470031545741325,0.619767442,0.42983080620614467
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.6,./pytorch_models/,72,0.27,0.4,0.8,5,0.0001,1373,0.27388767767316663,0.20077220077220076,0.3470031545741325,0.619767442,0.42983080620614467
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.8,./pytorch_models/,72,0.27,0.4,0.8,5,0.0001,1385,0.27388767767316663,0.20077220077220076,0.3470031545741325,0.619767442,0.42983080620614467
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.2,./pytorch_models/,72,0.27,0.6,0.8,5,0.0001,1352,0.5816814764183185,0.22727272727272727,0.9360902255639098,0.619767442,0.40106447508884974
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.4,./pytorch_models/,72,0.27,0.6,0.8,5,0.0001,1364,0.5816814764183185,0.22727272727272727,0.9360902255639098,0.619767442,0.40106447508884974
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.6,./pytorch_models/,72,0.27,0.6,0.8,5,0.0001,1376,0.5816814764183185,0.22727272727272727,0.9360902255639098,0.619767442,0.40106447508884974
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.8,./pytorch_models/,72,0.27,0.6,0.8,5,0.0001,1388,0.5816814764183185,0.22727272727272727,0.9360902255639098,0.619767442,0.40106447508884974
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.2,./pytorch_models/,72,0.27,0.2,0.8,5,0.0001,1346,0.1355119825708061,0.1895424836601307,0.081481481,0.619767442,0.20301347315938842
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.4,./pytorch_models/,72,0.27,0.2,0.8,5,0.0001,1358,0.1355119825708061,0.1895424836601307,0.081481481,0.619767442,0.20301347315938842
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.6,./pytorch_models/,72,0.27,0.2,0.8,5,0.0001,1370,0.1355119825708061,0.1895424836601307,0.081481481,0.619767442,0.20301347315938842
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.8,./pytorch_models/,72,0.27,0.2,0.8,5,0.0001,1382,0.1355119825708061,0.1895424836601307,0.081481481,0.619767442,0.20301347315938842
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.2,./pytorch_models/,72,0.27,0.8,0.8,5,0.0001,1355,0.47155963302752296,0,0.9431192660550459,0.619767442,0
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.4,./pytorch_models/,72,0.27,0.8,0.8,5,0.0001,1367,0.47155963302752296,0,0.9431192660550459,0.619767442,0
2,128,2,./data/,comp,128,0.005,GCN,GNN,TRUE,500,adam,0.6,./pytorch_models/,72,0.27,0.8,0.8,5,0.0001,1379,0.47155963302752296,0,0.9431192660550459,0.619767442,0
