alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,64,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,0,0.16,0.32,0.0,0.6549110384894699,0.0
2,64,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,1,0.17747932097875896,0.3167420814479638,0.03821656050955414,0.6502814088598402,0.13806947826325233
2,64,2,./data/,AlibabaLoan,32,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,2,0.16,0.32,0.0,0.6501452432824981,0.0
2,64,2,./data/,AlibabaLoan,64,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,3,0.22776421346355075,0.32786885245901637,0.1276595744680851,0.6599491648511258,0.25830434161586113
2,64,2,./data/,AlibabaLoan,32,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,4,0.16,0.32,0.0,0.6472403776325344,0.0
2,64,2,./data/,AlibabaLoan,64,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,5,0.21472068534713545,0.3248259860788863,0.10461538461538461,0.6620824255628177,0.2324055629261321
2,64,2,./data/,AlibabaLoan,32,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,6,0.16,0.32,0.0,0.6425199709513435,0.0
2,64,2,./data/,AlibabaLoan,64,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,7,0.16340228554896571,0.31390134529147984,0.012903225806451613,0.6614015976761075,0.07971445044215993
2,64,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,8,0.16,0.32,0.0,0.6552741466957153,0.0
2,64,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,9,0.18440736478711162,0.3181818181818182,0.05063291139240506,0.6491466957153231,0.15942890088431985
