alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,256,2,./data/,yelp,64,0.01,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.2,0.4,5,0.0001,0,0.13944437840827767,0.25585276307633625,0.023035993740219092,0.781931854755363,0.10792869529516973
2,256,2,./data/,yelp,128,0.01,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.2,0.4,5,0.0001,1,0.13292716718179728,0.2547698149027053,0.011084519460889281,0.7845086615592693,0.07465351674065959
2,256,2,./data/,yelp,64,0.01,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.4,0.4,5,0.0001,2,0.48312560935679005,0.3482973269864518,0.6179538917271283,0.781931854755363,0.6354762963310087
2,256,2,./data/,yelp,128,0.01,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.4,0.4,5,0.0001,3,0.4878395890711811,0.35230033124769966,0.6233788468946625,0.7845086615592693,0.6412307872504901
2,256,2,./data/,yelp,64,0.01,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.5,0.4,5,0.0001,4,0.6113947510524147,0.4137475214805023,0.8090419806243272,0.781931854755363,0.7068129346084143
2,256,2,./data/,yelp,128,0.01,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.5,0.4,5,0.0001,5,0.6186151629766781,0.41985078001356546,0.8173795459397908,0.7845086615592693,0.709396646113658
2,256,2,./data/,yelp,64,0.05,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.2,0.4,5,0.0001,6,0.1282401380428926,0.2539502318100104,0.002530044275774826,0.7859293078208868,0.03558966768391923
2,256,2,./data/,yelp,128,0.05,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.2,0.4,5,0.0001,7,0.20651008554324612,0.2686612117865569,0.1443589592999354,0.7876058981094073,0.2785714952102086
2,256,2,./data/,yelp,64,0.05,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.4,0.4,5,0.0001,8,0.5173216918417163,0.3652599968389442,0.6693833868444884,0.7859293078208868,0.665870281836518
2,256,2,./data/,yelp,128,0.05,SAGE,GNN,True,50,adam,0.8,./pytorch_models/,72,0.67,0.4,0.4,5,0.0001,9,0.5883194006119155,0.4032258064516129,0.773412994772218,0.7876058981094073,0.7077675232728003
